rank,enr_contractor_name,search_term,procore_company_name,location,city,state,address,profile_url,joined_date,total_projects,active_projects,avg_project_size,procore_users,business_types,market_sectors,match_confidence
53,LENDLEASE,LENDLEASE,Lendlease,"New York, NY",New York,NY,"200 Park Ave New York, NY 10170",https://network.procore.com/p/lendlease-new-york-1,December 2023,4,3,752500000,1,General Contractor,Healthcare,1.0
53,LENDLEASE,LENDLEASE,Lendlease,"Summit, NJ",Summit,NJ,"556 Morris Ave Summit, NJ 07901",https://network.procore.com/p/lendlease-summit,April 2024,1,1,826150,1,General Contractor,Healthcare,1.0
54,FCL BUILDERS LLC,FCL BUILDERS,FCL Builders,"Itasca, IL",Itasca,IL,"1150 Spring Lake Dr Itasca, IL 60143",https://network.procore.com/p/fcl-builders-itasca,May 2023,,,,1,General Contractor,Commercial,1.0
55,FORTIS CONSTRUCTION INC.,FORTIS CONSTRUCTION,Fortis,"Portland, OR",Portland,OR,"1705 SW Taylor St Portland, OR 97205",https://network.procore.com/p/fortis-portland,May 2023,7,2,2522330,1,General Contractor,"Commercial, Healthcare, Industrial and Energy, Infrastructure, Institutional, Residential",1.0
55,FORTIS CONSTRUCTION INC.,FORTIS CONSTRUCTION,FORTIS LLC,"Northbridge, MA",Northbridge,MA,"76 Sutton St #151 Northbridge, MA 01534",https://network.procore.com/p/fortis-llc-northbridge-1,August 2022,8,4,28980637,1,"Specialty Contractor, Supplier","Commercial, Industrial and Energy",1.0
55,FORTIS CONSTRUCTION INC.,FORTIS CONSTRUCTION,"Fortis Services, LLC","Knoxville, TN",Knoxville,TN,"712 Chateaugay Rd NW Knoxville, TN 37923",https://network.procore.com/p/fortis-services-llc-knoxville,December 2025,,,,1,Consultant,Residential,1.0
56,EVANS GENERAL CONTRACTORS,EVANS GENERAL,Evans General Contractors,"North Charleston, SC",North Charleston,SC,"4922 O'Hear Ave North Charleston, SC 29405",https://network.procore.com/p/evans-general-contractors-north-charleston,March 2024,1,1,150000000,1,General Contractor,Industrial and Energy,1.0
57,MIRON CONSTRUCTION CO. INC.,MIRON CONSTRUCTION,Miron Construction,"Cedar Rapids, IA",Cedar Rapids,IA,"335 French Ct SW Cedar Rapids, IA 52404",https://network.procore.com/p/miron-construction-cedar-rapids,July 2022,45,16,9415675,1,General Contractor,"Commercial, Healthcare, Industrial and Energy, Institutional",1.0
58,HARVEY | HARVEY-CLEARY,HARVEY CLEARY,Harvey Cleary Builders,"Austin, TX",Austin,TX,"9020 N Capital of Texas Hwy Austin, TX 78759",https://network.procore.com/p/harvey-cleary-builders-austin,May 2024,59,7,21489999,1,General Contractor,Commercial,1.0
59,HASKELL,HASKELL,Haskell,"Salt Lake City, UT",Salt Lake City,UT,"155 N 400 W Salt Lake City, UT 84103",https://network.procore.com/p/haskell-salt-lake-city,September 2023,13,12,18051516,1,"Architect, Consultant, Engineer, Specialty Contractor",Institutional,1.0
